start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
3040.0,3038.0,16:00 - 18:00,3,"[523.0, 10.0, 335.0]",12.473,3.532,"['83987256d6d7965fb7cb7c5846940793b8e7a07ceb04928b396a5f24e3c70115_1', 'dbafee8361970ce5b80f8962f8caff47001fa234e297b5f6f4574e202545955e_1', '8ed5ca39ba8b98ca83b78f77e44630125cd337bcc850fed30636acf64df6e8de_1']"
3040.0,3038.0,18:00 - 20:00,2,"[85.0, 35.0]",0.174,0.417,"['d0f60f2b9dd7ee700111b24f8e90c20c5ce01898f974a8abd6411247f87dc430_1', 'de59984f5dab80a069651c55d2dc2231d2c6f65ddb00408b77969ca831302ca0_1']"
3043.0,1980.0,10:00 - 12:00,2,"[867.0, 380.0]",16.47,4.058,"['57d831dc57284334cc7eeaf5e77438a8d7caedbeb417dd95e420fc873e86f7e2_1', '947acb38db0725d2573e6954a21aacaef53322e38486dd2747f2fea74e85fd5e_1']"
3043.0,1980.0,14:00 - 16:00,2,"[586.0, 886.0]",6.25,2.5,"['0e233a00a73d1128a32daea2b65c8f6ca988e54f8ee6521e424630ae1a783b61_1', 'ba285b065d29340e60c2e62133f39bf5bd29ea565de8cd47ce2bb367df5f5608_1']"
3043.0,1980.0,16:00 - 18:00,2,"[322.0, 675.0]",8.653,2.942,"['142e772a774329d6649084b8f87311771f330b2a6f8f76eaa72255d08576bb13_1', '0d2b515625e69553609a782f33aedab97b7ba2efb915e8428df4730925220872_1']"
3043.0,2702.0,14:00 - 16:00,2,"[285.0, 303.0]",0.022,0.15,"['bea3fcc5c67736fb85d82a36351ee7f50ac999cfb24ac0b66bb36c61c405d7e6_1', 'cc3231c0a76a6edf2b59682e71faf2d33783df6d969d8fc60f4b8dab192d897b_1']"
3043.0,2702.0,18:00 - 20:00,2,"[294.0, 203.0]",0.575,0.758,"['51d4026e1758b35872d77b28797e03ae267c2912c6fe4a344994cf5b1ddc5af3_1', '47cba0c133bf310584d491b32e156acaec7e21fab2137429710ae9b310af8d9e_1']"
3043.0,2702.0,20:00 - 22:00,3,"[265.0, 260.0, 175.0]",0.474,0.688,"['0ffdede7035b3fbbdd4235ccbd0abdccdb5b5b4b6f0ccd44b3761a09a283800e_1', '8734e8d0f1c3ac869d8ced0f60c434a060aba02acd66d2bb13730d7571b8368b_1', '94e391c6b67f31282545db828dd39e53c6fece0f02b40cce572fc0651492ec0c_1']"
3043.0,2702.0,22:00 - 24:00,2,"[530.0, 345.0]",2.377,1.542,"['390fbda1b8e987f5c5e665f631ec09da69815bae28a1535015b0734f315be152_1', 'f10c5642dfec21ec7b3580fb637a2bd90c45c2f2ed11e50aa48eb04b477e4048_1']"
3043.0,2715.0,14:00 - 16:00,2,"[280.0, 503.0]",3.453,1.858,"['83d2ddcb54f671721e47555066646a9e906691ad48840bf2f90ec54a6b007861_1', 'd30b4905095912eeacfe62bc96faa6b16627cdc5c517a22eac0233bfd40ee9cb_1']"
3043.0,2890.0,12:00 - 14:00,3,"[80.0, 126.0, 65.0]",0.187,0.433,"['3371b4d5d81ffebfc9e64ae420884872532325d2c074daa444fb95e7d326b2b5_1', 'f961733d1f822286676a13de18044c183fda9ddf81c74b4a14eb765a04a8b016_1', '743e35c9b1ead34d6f9cef3428764cf4239a0c0c68396f2730e59066a7d07c94_1']"
3043.0,2890.0,14:00 - 16:00,2,"[279.0, 90.0]",2.481,1.575,"['a1c927577c910461abd322e06d22bb76eadcc16c977c504dea03dcd14b32d8f0_1', '7cf3b997e741f686d4100348c2ce4b80b848a0ed1b7bde843902a7aa5c8b00a8_1']"
3043.0,2890.0,16:00 - 18:00,2,"[125.0, 67.0]",0.234,0.483,"['358c8f612c80a1403fffdb2fcdfeb0253afc8a23ed65addf9a2c4e3c9a2b0df0_1', '3717ee7261dba9114862b470c16ee15fba954f01a5df3992c916de96d023b08b_1']"
3043.0,2890.0,18:00 - 20:00,2,"[75.0, 85.0]",0.007,0.083,"['3a0e92935091c2cb894ee0af01bfd50e42356f7391fd4e3c3008452bbe039bf0_1', 'e9801833a2ae7980105f503caae1a9d8b183096744feec95125f0dbb0a48a958_1']"
3043.0,2890.0,20:00 - 22:00,2,"[265.0, 150.0]",0.918,0.958,"['9f879cb2755e1602d8a5e1e938df6f5c241924d67aab40ba44fb4c40af47783c_1', '3328fe975e9beecb6055338343be08ae661e16b6f2d80a732259c3f72c832c24_1']"
3043.0,2920.0,14:00 - 16:00,2,"[418.0, 799.0]",10.081,3.175,"['a99c46976ffc52d9e5d714b336a4d660e9ab9efd21cda1e8bed7d2c78e6c12c5_1', '14f8e5bfa22c3a415e60bffe125c11b0c2515158a3fbf4aa5b0b31636869c76c_1']"
3043.0,2920.0,16:00 - 18:00,3,"[1068.0, 95.0, 550.0]",43.891,6.625,"['36bf7006cf7ac1b2aec4a37aa49d03cfabac2677a432f54a82f994c1d975b501_1', 'f97757059140e34614070d5b1235b4ac6105623aeafabd74a6a13fd51171516e_1', '9dd52a27e918e17df184d7799142be6c5dd60a564ff6d8c6cbd3a9ced946a4fb_1']"
3043.0,2989.0,12:00 - 14:00,4,"[371.0, 491.0, 111.0, 137.0]",7.069,2.659,"['39576120572b921d80fd08b85e28e304600da947d9772d11e860d76e42bbba87_1', '954d6a9178f9de770209a1c93e9e0a13027dee131e882b63d377b1f3d956031e_1', '7f365023d5fceb553c5fec5f9e35f63264f23e01db8f0576d9b4ba47f711782d_1', 'fdaaee5d954f12eff4d78a63eea031d236865399a0f706e94a43b595e6b81c0f_1']"
3043.0,2989.0,14:00 - 16:00,2,"[329.0, 322.0]",0.003,0.058,"['92c78121d88a235f611a1b6eebd3c8b91fa31af771e1367cd11049c87b9e12a1_1', 'e6b1ebbe34110966ec6abd42bd33dcf6240032b5dbaa6f9f2061c033366cd310_1']"
3043.0,2989.0,16:00 - 18:00,6,"[785.0, 385.0, 282.0, 250.0, 778.0, 21.0]",21.745,4.663,"['2d42dcb4f6ef86b6698c82f30aad69597a0d1a065cabd702b4f1115e1bb83874_1', '4a1658d8a40b9cafcfa85ae21b071906f0866e70d9b0f3be60728bad6f7ef96e_1', '52d0ecd7780ba403e3e4bed0950371331ef4147ce3752edbde5c70f24a5720e9_1', '00ab032b0484902e6a6be80b098304c1a5838badb95c1309536cb7829c0b8e07_1', '0ebb48b42f6eb855a531881455bdb03a6d58aa4bdc09c729a53fef7020a32b51_1', '7513231fd6add78d09475c71fd7b8f4636ed005459297307d5963183cebae5f4_1']"
