trip_id,pickup_lat,pickup_lng
01ff05c850fb030d8174a48d70a7327747dd0177030bc5cad10f5c9d25b95b33,31.948,35.892
05e1073bb68a200b34c24ba7bcd36a37030041f37cc32206c05888900027c523,31.957,35.868
0ab47e5efd572c12e0dce7b8767e48b24693a53fa25d996eb141a5152d06b6fb,32.008,35.789
0dab497715edbbc284f661581acafe328db9e162951604a7f1bde127ae01e2b3,31.837,35.909
1130381657168e5a73bbf4daee416fff8bcb962080576b6078197ccf43fb1055,31.962,35.972
127924c79ac5e5e03143ceb2184fb997a86e4fbc2befcc6f23b0b9f00b3e1e62,31.997,35.836
1332e5748746f5519af498d2dcfb0666ae01e532dcb4fde81dd4258433b35319,31.95,35.872
16789dc6693f64047e5158f7f7fc4d875c187200554d2de8bbddb1bd9623bf90,31.983,35.848
1e3be8fb0b5952278b1eef5f0edfdba5ed9fa131e8b651fa37a8f4e74d19fac7,31.994,35.87
223908890b25a397135f6043f63bcb389858c3bd649377a7cafd9f0229fbbf8f,31.997,35.836
24c4d373f86d4112f953e0b91fc4da4cd7fdf3c3efb440c7bd1ad3fa43e9fb2e,31.95,35.925
262b3ad9d43fef3135949f5b1cfbd00a3e1e8bb4ffe0792c383a6245fcf81d36,32.035,35.888
28435c3aaeb1b02012bf2cbaa8643deea406cbb533b17d51f9182b903a4d94e1,31.95,35.884
287f6e3c18462a70291914a7b5e66c770ee7de8e05a9ed3c3a4706ced8144569,31.948,35.892
2a032c977ebc48317cf18718a0c31fbaffcdadd41dde37962e47613be610aecb,31.959,35.98
2a7e3fa3a76f82e05052af1ad1a34bddbc865a7abf1b9d7bca348a11ffeb209f,31.997,35.836
320d612ad9d928a6246bb1dae41bbd30a77b339d88c47d6d2157c12d0306944f,31.957,35.869
33878bc8125dfd1755ee5d63faad30d0a2ba770c008ff2344dc1db93a12740b5,31.955,35.842
3db2cff3fa84c31eecfcae57e54c52e6c5faf2420bda7d55d5a3ffed6eb5ed0d,31.957,35.926
45182c4e0d9fcdb060c0897227ddd73a4dfb3098e7c470614428594779a5c42c,31.974,35.844
50dff1446f56c9621cbf8a628bc00a2d929500e16a1081c970d4d973e4e8c0f4,31.893,35.843
51f2a59a0117b219b677f390b0fa7a76c2efd45d117e9aa33bd32552e7225a5b,31.967,35.884
543009c0c4e25a15f8bbf9e0aca9551e7ecaec351e7a3b9fb516d0590a641595,32.002,35.936
6bbb750f7493e5b2775170fff3681e558966c99be8fcfea061b5ff0ea137e083,31.988,35.88
6bdf955873a5b9b0a0bdbb582ab63b230b93032cb8300d5a99efa96fcfe1819b,31.96,35.859
71628a4aa240d802302ea79a36773d4dcb795446376fb9cdf02cf29c944de0b9,32.004,35.89
782e545ace76023cbd4015ff5a9930a4367ced045b5f08d3cea61f7094ee738e,31.891,35.86
78b82e7beccd2c9d31ba1bf07fdeee653c4752924754712534c833c08b89b7ac,31.965,35.906
845d052f6c490efea512dfcd143dd2ed383bd2e9a87e5509c1d92ee0a25b27e5,31.919,35.906
8c591bbf0e397d965a906216cad7651d8baab5bcd2030ad5446bb506363e2cd3,32.001,35.891
9072bebc885a7b361e93237b444bc93d1398110d9c3f87f87cb08f8641aacc43,31.907,35.931
94fe54410c6b5fdc27c434f98c8e50c578e03fbcf83b587762f58da926baec85,31.954,35.884
98d4ac2d69590b7dde18d063344951e02e994559db91436cc8d4066a2826a72f,31.966,35.9
9d2f2e473c48f36100c70e4feb4f44619b89f3b01a521664bdc48742ea099002,31.988,35.867
9e4edc121721684b62dd7b51f61c011d648fefceb3b565d3a73c8f0229c6c5f5,31.98,35.837
a24dbb93f0a10cf2028ad993932063be9f724b27df7721560189d88a3244e85a,31.948,35.865
a479ed21d1c88372cf7fecfa62b16bf2de6a4f3e7b6c70b4ad07973aaf71df6f,31.957,35.926
a55964cf32f9453257981af123754fc33f3b5bb081f63a85edb9311a97f38bd1,31.974,35.846
aab603cbfe3baa0be28d2fa185f58ef81e2ac76979a38c07658895970ff6c05a,32.003,35.94
bdb151a0fa98df5a519ca68c61b9659038855810dbfefb8fa96f749a151b494f,31.949,35.892
cb0988944a32760e99dbf53074ec73b854772f8ac0b06497aefff1c79a16c2b4,32.058,35.892
cc8fb282496e96353006c797c2e8d32c969696fae080fd30d0a1d6dd7081e92a,31.966,35.899
ceae409710af78b4bfdf75d63b0d7e1fe61cc51b56b1daabd4b9bc41a6dffba8,31.996,35.838
d44e65d9f79e73469ee7d561dae67aa318085ce8d24cb7c065ea5884f3953426,31.995,35.871
d507421663607fae4d6d3d7210356b03ab36d37b3e53edb01a8ef5252ee2e658,32.022,35.873
db70ec20eb41052b286997933da04d7ae462be4a7a5413e9a116c34da3e465ab,31.986,35.925
e0c6399f9c0de628bade9c99d5c2f0b7d3e78081c59ea89e2268f7d8fe845280,31.93,35.937
e18a018b2ac2c1ad5dd36a0946b00520243cf726d759d515f3a4dc860d8bcd57,31.974,35.854
e23b2ab622fd3e0aef389a73ff2ed9e860643186dfb6f2016741ce6fca73c585,31.912,35.934
ec0286dc18471dfaf418922d48c55f7ec72f1e528954b80fc707705137fb5a21,31.916,35.91
f01f5f9ddc73c41afad46682bccac8a38ccfad813cd19c7bacbde98ae8b96cff,31.994,35.87
f82b6c7a45db4fd93e76d73881343d2aeeec3fefb876401a4b9380c9ad3cf37d,31.948,35.892
fa6b7eb2ad64f486573baa30ab3c34142698a76df756a5a402513a307d0d957c,31.954,35.884
fea906e38c5b48df2a7dcc0571798308dc90dc7e55dea9305e030186c8e5f941,31.971,35.904
