hour,order_count
00:00 - 01:00,43
01:00 - 02:00,32
02:00 - 03:00,16
03:00 - 04:00,13
04:00 - 05:00,21
05:00 - 06:00,66
06:00 - 07:00,144
07:00 - 08:00,191
08:00 - 09:00,238
09:00 - 10:00,375
10:00 - 11:00,264
11:00 - 12:00,359
12:00 - 13:00,385
13:00 - 14:00,371
14:00 - 15:00,434
15:00 - 16:00,479
16:00 - 17:00,494
17:00 - 18:00,538
18:00 - 19:00,449
19:00 - 20:00,399
20:00 - 21:00,323
21:00 - 22:00,191
22:00 - 23:00,143
23:00 - 24:00,62
