start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
135,283,12:00 - 14:00,6,"[323.0, 225.0, 145.0, 574.0, 395.0, 167.0]",6.103,2.47,"['9e996e52c7355a8e4fa6aadc5da10fd71643286b85209236cff62d06f599db56_1', '24f3ded6eadbfd4722b75eab0f21ce8e3947e687166686eb8b23a123bec0fd72_1', 'a9ae683860555bab141319f208a549bbe6f6ff8a16d6f734ad5f0d16107d3af8_3', '1565c5c5b3459fc457e2cbbcc34c90d9e8427adf96776bd3a063ee7ddca2aeef_1', '190a9c7029af6ac28578e6fe915f0d9e77eb63a1f592308c7f0d694fada6fb31_1', '690cdeea56caca8f7cbc4e94ab48525b7a87cb98df062d7d7d3d394d55f4bfbe_1']"
135,283,18:00 - 20:00,3,"[335.0, 85.0, 170.0]",2.992,1.73,"['80823a765872df589f050a18dc22536568a87fb5bd9b6e19298dc8b4a2770c5a_1', 'e495ba2fd139908943c1f5b957c661e15f7d2b828efc9eb5520bcb2465629c97_1', 'f055c5acb72eccdd25722c44c09a2e5f07252a7478fc73402aeacafe0fae1478_1']"
135,283,20:00 - 22:00,2,"[585.0, 182.0]",11.278,3.358,"['4b984b5dc42d72f9eb76acd922429b9211a0c6ef368c27e268a7cb3581820682_1', '201623dc69b63844caf4d93e81e8ed529277347a654f0c66ac9b565879f1a67c_1']"
135,283,22:00 - 24:00,2,"[115.0, 280.0]",1.891,1.375,"['ec88813e21cc0215c6cabdaf3899113c01f0bd71ad3028aed5eaeb3ed2f501d4_1', '8d55a8cd2fd69e084bc4e5103fe7e99e2569f1c88a374030d8dcdb628e0e860b_1']"
135,297,20:00 - 22:00,4,"[925.0, 1070.0, 1250.0, 845.0]",6.599,2.569,"['d864aaafea6c2a4c1ff812cac952ddb5b24a9af3f89ebf4bb386983025d77f62_3', '22d5cc6342d5323e4d2f7859f2c7e89f004676324c2d3990fc22643751cf04dc_3', 'ce6e5d12d7a797ea4dfca5a96c0a81b082783494e080753ac0116fe01be96faf_3', '5a359b12b4566d947d63c150de1dea94c45b9a57f08c8e8913aaa4afc99a435b_3']"
135,305,12:00 - 14:00,3,"[965.0, 639.0, 1214.0]",15.398,3.924,"['2d6a22ff1f0914748e36e4e61ff3bbbfcd17e8276d8c1f57c034f94586cde7dd_3', '6f4c93f665bb0f99a0fd47ebf1213980aa23e044f30214f62476000110ce65fd_3', '08e83c11f73088a7972a61dde1ffbe280d93f391969e65a474ab63137f83392b_3']"
135,325,14:00 - 16:00,2,"[1176.0, 978.0]",2.722,1.65,"['006859e731b7efe30a593dffb7f82a2ed6f0fbc23326e4ece98d8681e83457a5_3', 'e445af1c2707789a29c42f3cb8f5682dad4006bc4b2791263d09917e236f1b9f_3']"
135,325,20:00 - 22:00,2,"[800.0, 551.0]",4.306,2.075,"['229e6d1204933f06e0d36deb0e7e1ad2715f3ad704001f3fdc8722337c00f51a_3', 'b03b952ff3fb0594eed66e51a73c797fe7d0f27e58b300d626c752a7d05cf13a_3']"
135,325,22:00 - 24:00,4,"[867.0, 855.0, 515.0, 682.0]",5.759,2.4,"['1b47d5fd4c3b1d76a6be8d9786577441832eaeb1eb71047afae749790049c674_3', '41d5f984b2ebb9552c2c6d72b92adf2b3c660520508bdc6d047d2e4f7f4ee945_3', '70ee72af99c10a3ef39c59b6c229a7be06ff9faac5820686181bb34fe9e5164a_3', '8d55a8cd2fd69e084bc4e5103fe7e99e2569f1c88a374030d8dcdb628e0e860b_3']"
135,329,16:00 - 18:00,5,"[1886.0, 1875.0, 1870.0, 1338.0, 1479.0]",15.193,3.898,"['d26676a1eb21a182b7df5f9a67c2e59bd3f265f9ec3817ef5dc4698ff7eb514f_3', '6d7fd03168e063fa7c98ab33d86d5a0aa981a123de9a98ceda86d80f7a434796_3', '97bde9d8b83da662c262c382398092dae1904e435ed768a9757ac905ca009d17_3', '56cae89514876489e3f81f1a323a28df79bbdb6de2d4ac6c346551128386903e_3', 'f5e35d9d4a4d545664edd743b6a393bfaefafc1d69ec2ae7d0638bd53fa3a50d_3']"
135,349,20:00 - 22:00,2,"[595.0, 584.0]",0.008,0.092,"['6324774c2937140c0f1e928e6cbeb1bfeb94c76192f2cabb44c6e9dd8ade4fdf_3', 'e9b9c244781b267289358e50ff35ad3c8cf58c36a650fc7fa83709c9a5b348bb_3']"
135,354,12:00 - 14:00,2,"[1000.0, 1433.0]",13.02,3.608,"['9e996e52c7355a8e4fa6aadc5da10fd71643286b85209236cff62d06f599db56_3', '8b8f87076a2f1e7fc0348ed1ad3850c29c5f09d20992d183b5567ec6243639ce_3']"
136,96,06:00 - 08:00,3,"[85.0, 140.0, 640.0]",17.316,4.161,"['d0ae9dca7b61e84ad41c0280303097ede1833e0b13b8c86eec19385f143acbe9_3', '7fdb7a30c6ff2f4a38d1a9fa7492dd296fc3c5c1ecf243a60d75dabfd7ce6e8a_1', 'a319de0fce8db62f3e2a840a450437cbb8b7e4c16bee04cb29cb0e38127c9f4b_1']"
136,96,14:00 - 16:00,2,"[297.0, 360.0]",0.276,0.525,"['269cbc05e42605c0f423bc097373b6eb126ec2bda97f85ef98e58a77c9eb413b_3', 'feb9ae869f174d4aeb4bb6d9f8e4fc59435f70ed396fcd56849af377616fd3c6_1']"
136,96,16:00 - 18:00,4,"[695.0, 80.0, 197.0, 418.0]",15.273,3.908,"['d695f4628b0ece60f6e8e7fbd7eb55d39717242980edc821e66d244d890bbf94_1', 'c35ac9c3591da564432e0448531a0fdf64840264e1b63962a21e032ea129553b_1', 'c2166ad3d9244510a03816c31abf0ce9e9a575c4eb98f453729005dc8385fd59_1', 'abb720c93e0f241208699c027e29cd47c7bc05ea8a0d9e0444c799fab6bdc5d8_1']"
