hour,order_count
00:00 - 01:00,41
01:00 - 02:00,33
02:00 - 03:00,12
03:00 - 04:00,14
04:00 - 05:00,36
05:00 - 06:00,54
06:00 - 07:00,155
07:00 - 08:00,197
08:00 - 09:00,237
09:00 - 10:00,242
10:00 - 11:00,217
11:00 - 12:00,228
12:00 - 13:00,341
13:00 - 14:00,431
14:00 - 15:00,456
15:00 - 16:00,456
16:00 - 17:00,448
17:00 - 18:00,501
18:00 - 19:00,463
19:00 - 20:00,441
20:00 - 21:00,359
21:00 - 22:00,230
22:00 - 23:00,175
23:00 - 24:00,72
