merchant_id,lat_changes,lng_changes,lat_nonunique,lng_nonunique,group_size
24c7a5e32eabef36c7a95d54f5fe8db594ff17018f59566ee542b0d69abcf36b,2,2,"{31.966: 1, 31.967: 1}","{35.898: 1, 35.899: 1}",11
24ef1d22ecf5df38d7c72797d54b032ceb5dd4c65eb30ccbab13febf48678be7,0,2,{},"{35.848: 3, 35.849: 3}",18
257db4622f503a4b84443025ce53bade668d433948fce63564f1a02dda13af34,0,1,{},{35.873: 1},4
25dee227e212994da18b0a046b082e08dc3c4e27b26878806a9b70a5c0b7f1b7,3,3,"{31.975: 5, 31.974: 6, 31.976: 1}","{35.851: 1, 35.854: 2, 35.853: 1}",59
2642c44563ab5029d282241a0fa6512b820c4375f3e280997be52bb47dd8481b,3,3,"{31.948: 6, 31.949: 7, 31.944: 1}","{35.893: 1, 35.89: 1, 35.892: 1}",39
267661101b0036ea49d0eb0d938e3842dd5ba9291ff269278f2f16df92998ac5,0,1,{},{35.895: 1},2
269fb4ede1155470822e7df2b38ab1b8e0cc9f662185f61c9d4320c1dc9077de,0,1,{},{35.88: 1},2
2711e30444fd60da882bf58054c4f2d439a3f96e21d748495af6024635cb71ec,3,3,"{31.973: 3, 31.972: 3, 31.967: 1}","{35.884: 1, 35.879: 2, 35.881: 1}",20
2a46c2e1acb409f9a00661ca4e5ddda244455c92fbca0f414e58efa19b028412,2,0,"{31.985: 2, 31.984: 2}",{},5
2addfbbf41ae339ba5b686394f32500d6493125ef7031f80a2aa6e4ee972eaa7,1,0,{31.944: 1},{},2
2ba7d254ea9689697f4b2e3f8408fa76514cecc93eca0a776e68acec1c2ce7b3,0,1,{},{35.856: 1},14
2bbb3706afef61a1ea60249421e364ddf97faad8b6e9caa1920f86fed155ae46,0,2,{},"{35.839: 1, 35.837: 1}",3
2be04a0fb8cb58317cf29291115a7e05ff28dcfe264b8d056903cf5fbd8af637,1,0,{32.022: 1},{},2
2c1c36214e88ba2e08c5944920a0eba879793e31af30a5a5a291689f504cb589,1,0,{31.985: 1},{},2
2d68a265edb031a2b296abdf5fd9ad7c3aa23a2e417a6714b859920def3856a0,0,2,{},"{35.855: 1, 35.856: 1}",11
2d8ae9a42f734a783cbeba628848d349f7dfe80ed645a673b03ce0ed4f452877,2,3,"{31.949: 1, 31.95: 1}","{35.87: 1, 35.873: 3, 35.872: 3}",22
2d9ea239f20b1f6aec876f7e8cb4e764b5855726454271fcd4978a2d8a76598c,2,2,"{31.974: 1, 31.973: 1}","{35.842: 2, 35.841: 1}",22
2da102cf31acb28a5a1568ab4bc486dc63fb485942d0334b3fd584394fded67c,2,2,"{32.002: 1, 32.003: 1}","{35.937: 1, 35.936: 1}",4
2e682642d5d71549b2266f71632cdd3aabad25144e3d16a791ba132d06212bd5,2,2,"{31.971: 3, 31.972: 3}","{35.897: 1, 35.898: 1}",18
2eb3c28d347c3cc38643f0f1d1ec46afbe264afb4143cccf1855f8b91174905c,1,2,{31.896: 1},"{35.866: 1, 35.865: 1}",3
2f54581a4e1a60dd9876eaea0aa7dd406eaec59bddc93c1ecef39f4907786a1d,2,2,"{31.896: 1, 31.897: 1}","{35.864: 2, 35.865: 2}",21
2f5dfda92f6918167bb3afbb37f65b8db7241a921de90d0e7924291baaa163b4,1,1,{31.951: 1},{35.934: 1},2
2f61e7423d22972db82d93b99ef895aab2ab4e866cc97989d8ba864ea06ea3a3,2,0,"{31.97: 1, 31.971: 1}",{},14
309dbbff58e2a317f7a67e193918e82b405d9eb7f73bda697219bce613cbfcb5,0,1,{},{35.864: 1},3
32b45193dfa8dfd6b81fc68f61fb93767a8298138fb590e14b4b4bd6cfb212be,0,1,{},{35.937: 1},3
33377f2798f25d3dba4af8afca2bcdcd456f634326e20ac972cc3f7d0f48fcfb,0,2,{},"{35.892: 2, 35.891: 1}",4
3464ad0e41a916152a707a634bf5a342c997753f8eca317e645af870fdaa4a77,2,3,"{31.992: 3, 31.991: 2}","{35.868: 3, 35.869: 1, 35.867: 1}",9
36dbe74798b395c4b5966e02ef555b7c8f5928a03a5f162082748e63af430229,1,1,{31.974: 1},{35.842: 1},2
37442e2d8b094c16e542523d51fcb5ce3a5ef36fa52c284070cf953233115f40,1,3,{30.084: 1},"{35.864: 1, 35.865: 1, 31.352: 1}",5
389849604cd9ad29f049959a65d0b2935601ec4b8fcdb52d4d5b3ad0abfa45cc,2,3,"{32.004: 2, 32.003: 2}","{35.939: 7, 35.94: 9, 35.938: 2}",69
38c43602ff73cb8c2f2c3da24a07be96e3295f460e5fbe53e4d6a1d0aaec6648,1,0,{31.891: 1},{},3
3922f8e053e1d068a161b753f9148c070698d3d559f9349f28ed79411cd4360e,0,2,{},"{35.914: 5, 35.913: 4}",15
3a5c8a96d50770349b1b95b2328dbd570587761ae99434d32551fb701959fe84,0,1,{},{35.872: 1},2
3ad2878471f1b79e0b50d1fbbdc82417ffffdf83008ef569091c12ee8241a615,0,2,{},"{35.788: 3, 35.789: 3}",19
3b7bf004225312b2243a4f70288b6bb4d6a7819f5d940a2371c5f507bdfe46d0,1,0,{31.889: 1},{},3
3bfb86dbe8bbc27fec1b44604e633a22e87637bfe6b61fe9ccf26ee44270dfd1,2,0,"{31.967: 1, 31.966: 1}",{},3
3ccf524304ee83431d2994af22b716b2351d8e7d78a4fe65a7ef9f43b09d8e88,0,2,{},"{35.846: 1, 35.847: 1}",8
3d9a38cd7a4cb82e79ceb392e32ed18dc28aff4d584513daab3c2cca21a6ba7c,2,0,"{31.953: 1, 31.954: 1}",{},5
3ee225a1c2dcefd4ee438fb4b0545900f2cf5fcdf2205499e96a188ccee3d3af,2,2,"{32.024: 1, 32.023: 1}","{35.851: 1, 35.85: 1}",13
3f838dcd84f83f31137514d913eaf1fada5d9857742ff4312b7a70f9d8e3c9a7,1,1,{31.846: 1},{35.884: 1},2
3fe89c9bf89508201928db7849966370c702903a977b33ca21232933ce3f4a33,3,2,"{31.954: 8, 31.953: 8, 31.907: 1}","{35.931: 1, 35.884: 1}",35
3febb13542a6c6c194c9f2c069b0fa1edd75e41ca9d53caa23c3cb50f9896c6d,1,0,{31.964: 1},{},2
401173ac8f8081d1099b002a10b45314e344acd0e3b3eb1b02284e8cebd39566,0,1,{},{35.935: 1},5
415fbde26ca335d843ee53e000cfbd66ed50da5479fc0e851bbaf5a8535a9721,1,0,{31.997: 1},{},14
425a7e78825ecbcc611a7910dad63db159123c63d475fef30bbbd1d2bc36a10a,2,2,"{31.949: 1, 31.95: 1}","{35.885: 5, 35.884: 5}",34
4353f975cdc98f80525dab1b388b5367e5d808733c0651d7a87ffc64d1b3c740,2,2,"{31.983: 9, 31.984: 8}","{35.865: 7, 35.866: 7}",27
4401b0af2ff8268063f26856b2011a58d32cf73e080352a580110f4631d1952a,3,3,"{31.956: 1, 31.954: 2, 31.966: 1}","{35.883: 1, 35.884: 2, 35.899: 1}",17
440fee9f796839a9d81bb772659ba6e4c08832f0274e11a2345cd4a6e6139439,0,2,{},"{35.847: 2, 35.848: 2}",8
4497a13c671638d4240ad1f1d4caa955850efcba84c39dd524b2737f79f3e1e2,3,3,"{31.973: 1, 31.974: 2, 31.97: 1}","{35.853: 2, 35.854: 2, 35.846: 1}",25
464ade7ca1764a3a225469711cf2da09a9b5d9f36bd354df090d1e7f88f1a20c,2,0,"{31.975: 1, 31.974: 1}",{},8
46e50a2446506c7fbfb807430b7fa7436d0feab4f3b4e46adc19e6556952a327,2,0,"{31.955: 1, 31.956: 1}",{},3
4829cd25ef775f9975fb03b9233dd392db8761240024f23a1c2107c968a786ab,0,1,{},{35.847: 1},5
496372446b26a6a93ba9c27f086df150e8a664e316d11deab2983b3034d82fca,0,2,{},"{35.855: 1, 35.856: 1}",3
4bb2e31b684062c3674f1b2a7f92ed4c8d689ba2a6ebbeef1fa5165436d4600e,0,2,{},"{35.838: 1, 35.836: 1}",4
4d7610aabbbd92d1a455de5908def7ebfdbe355e5ba278d245feebc3e37fc9e9,0,2,{},"{35.838: 1, 35.837: 1}",4
4d990496a03b0490fb10a587f99ede5fa7a599c129647e8fe6bd11255e37d515,1,1,{31.973: 1},{35.841: 1},4
4e8acaf47dd315155d020a506b4096d3177019d1704852a1615532a0e4c69f9a,1,0,{31.996: 1},{},3
4f5ac2df7e1a42669c41f81f74800a1be70c6886c0dc3988c98b059b9a356fad,2,0,"{32.004: 1, 32.005: 1}",{},6
5067020f51a394daa5eea6853914e8bc982963f355b148c003f8c45630910b1c,0,1,{},{35.872: 1},5
519c64919be85c62ac73e492f4350ff68ec61632d64fdc1c97801b8fc17c5073,1,0,{31.974: 1},{},3
51f8748d5985225a32dfbc681a629a186f9fdc6a9918968aad9ec0fdceb158a5,1,1,{32.009: 1},{35.834: 1},3
521b414fd7124d78ce64099d321d864be907289005239a5cc677eb20ce8f8d9b,0,2,{},"{35.848: 5, 35.847: 5}",33
522071c076ebb3a4446515b5bcd464a0fb69272b7be68b5e70e7040f55b0f42f,0,2,{},"{35.873: 2, 35.872: 2}",62
526cfd880285543817b2408e665eba3a435bc3b2eabde322d245702fd0e803c8,0,2,{},"{35.936: 1, 35.937: 1}",11
5522128c2539407f2e2a56c46cd9cacf010b299e72710d87df836470e5faf8bd,0,1,{},{35.866: 1},2
55854a49136d7ae86898ce39734c8c571f574a74026a6724d48585a67f2ec399,1,1,{32.049: 1},{35.874: 1},6
55a59335f9669662f494b60c24e99a4e15b0b59187ee932b4bda7f32b774c023,0,1,{},{35.851: 1},3
574683177d66212240dd9874517dc10e65d0f266daf512ed49bd128fa7363aff,1,0,{31.948: 1},{},3
57acfafcc857d5f2ec6ad9be2b7b57f92b276d9b0f196d21b4e66702b9da595e,2,2,"{31.987: 1, 31.988: 1}","{35.866: 2, 35.867: 2}",19
587802e9000745da8f2568eb2041a53aa2579d16e93b8cff790b0a2aabfb999d,0,2,{},"{35.917: 1, 35.916: 1}",3
5a191710a2420534d8a067ea48e3723cb5fa85dc6f06748fca9d7c1c89d7f9a0,0,2,{},"{35.907: 1, 35.906: 1}",12
5a412dd645bb4459bb7dae312b1c68f5a32ee8d17fbb61652f3cfa63e545bde2,0,2,{},"{35.894: 1, 35.893: 1}",4
5bd0fdbde158d6273f1a528e90d775a729ce52f03f6013e7bc6bd58c04c155e5,2,3,"{31.952: 1, 31.95: 1}","{35.873: 4, 35.872: 5, 35.871: 1}",31
5c80f86c6107be533b20e092c38e5b5792307d7592dafe8efe3cf68f6df73f45,1,1,{31.977: 1},{35.843: 1},3
5d3a054bd55770ac7eca33a0347e190b00406290da5856a1473297c6478740ff,0,1,{},{35.877: 1},3
5d96b2f31114b95e95faf0406dfcfb183adb3884d46d79d9758510afbce7480c,2,0,"{31.948: 1, 31.947: 1}",{},3
5e5de1ee54158f89d775bc7525758d9695d64ff014d2033e9c89e581756527b5,1,0,{31.985: 1},{},5
5eca1b47e728ade1b84e907598bd5051a439cfb4cd08f2bf2fa1aeba693a476b,1,0,{31.972: 1},{},2
5f63efc09056886788096c792b5aa9d541d1e080a684e8cd104c5c40e02a657f,0,2,{},"{35.844: 1, 35.843: 1}",6
6030f05416c3454674f4d9178a4df8277cec8d3cfb83e63c8bd7b753ac3411e7,2,3,"{32.004: 1, 31.999: 1}","{35.866: 3, 35.867: 2, 35.89: 1}",15
603ba2a2d80966eddd6e4a80a4e1a6b8f69b7056bfae551d98260fbc8770fc32,2,0,"{31.974: 2, 31.973: 1}",{},7
60c4e52e1a0809e45a1d32e03d3c0357d8866f9e406dd699de49401444aa627b,2,0,"{31.995: 1, 31.997: 1}",{},27
62d4eb16fad43c654d4590bd856e0e04ddc2031ccac0cb8b4c57ba7b4b8a0b0b,2,0,"{31.954: 1, 31.953: 1}",{},8
6309561f2b1dbd868179fdd7b793acae6755ff7c9e0d3c3c1590887f4b23094d,0,2,{},"{35.898: 1, 35.897: 1}",3
6419d05c75362f253d24ce2e041c3a094312dcb7f9b69166f572c6ec45d02d07,3,3,"{32.038: 1, 32.03: 2, 32.029: 1}","{35.884: 1, 35.873: 2, 35.872: 1}",40
64617af018d28718cd558f9005b46d19d1efd4867d857b7212675e81ec4972e6,2,0,"{31.949: 1, 31.948: 1}",{},3
657b42dc863c145d618c2296c5fde5b3b3e45be3888e8092e13175dc6282c6b6,0,1,{},{35.885: 1},5
66d4f32a374b1f2b2045e02cedd741ae81ead4a3f99392095b2110faaed5ac83,2,0,"{31.939: 1, 31.94: 1}",{},15
6758565b2bfec10b72ba5508db8b5a62c6de5bd6bc6e5dcfca2d35ad2935688c,2,2,"{32.003: 3, 32.004: 3}","{35.937: 1, 35.936: 1}",11
67f1f69ccbd0a474dbb458ce00d76d0df1fc02d83abd81f7567f983b371a9882,0,2,{},"{35.87: 1, 35.871: 1}",17
687227fba531548aa8fde03481515c182768b9a908de66ef942bdebec90e8069,1,2,{32.026: 1},"{35.857: 1, 35.856: 1}",3
68944a2891c921cd30a0396c4528858768536b4b4d2b9d7232f62f5f4393bf97,2,0,"{31.966: 1, 31.967: 1}",{},7
6a519fa83dfe07eced3cc27c633c9e0e0cfc0b457c06c09e9c01448a6cb63ea6,0,1,{},{35.839: 1},2
6b3017dcaf73e53ca56cc17a869cfac3d84bd75ed70ffbea2f9345683f9defe6,1,0,{31.987: 1},{},2
6e2e4729bcdcb93a8784cb782774c6efd8ac14c0612f99a6ea2de322cc834749,2,2,"{31.977: 1, 31.976: 1}","{35.947: 2, 35.946: 1}",9
6e8ffcc255343cd4b621277b43eeb4fc5ddd46654333b6e77958da344ce52fb0,1,0,{31.948: 1},{},2
6ee7f0c2c0cca750d94162e2d8d6745355c25ba70b8e5c427f3594d13227740e,2,2,"{32.015: 1, 32.014: 1}","{35.868: 2, 35.869: 2}",9
6ef241819d9ac5ccc68cde77782a504711eafa16c6eb10d849ff324c26c9e391,2,0,"{32.003: 1, 32.002: 1}",{},5
6efb9b35051d7fc01f36957e589228dd2df695a60296889caf312618c541ae33,2,2,"{31.981: 1, 31.98: 1}","{35.837: 3, 35.838: 2}",15
6f7cffa4795c97f5a7be5c776da67159d3d3ba9454f88bff3f8774b7e79c02be,0,2,{},"{35.938: 1, 35.937: 1}",3
6fd39eca02fefd6c22ce305fa801eb5d89fbf88fbce7cab3298dbdbca821d246,0,1,{},{35.886: 1},5
6fedcee0bafc27002e0994dcc3f13ad283e9cc0b8b28cc44d1ca54265efbd154,2,2,"{31.994: 4, 31.993: 3}","{35.921: 6, 35.922: 6}",20
700bd6346fc71397091ada180f4993649a31902174b75101282ae569ff121fdd,1,0,{31.914: 1},{},2
7082ba36628f9b9f3d86477b0a9b82d104ec48aba20deeb54d01aa570e48a5a7,2,0,"{31.94: 3, 31.941: 3}",{},58
70a03569c10bc47c066365d21e36ae9e35d1b339ef9ea5d7f32f5dab017ae981,1,0,{31.879: 1},{},2
7150a2f50f4172a73aaa5921efeed167b9a20bc4b0c4d18c9c645dfe21156bd3,0,2,{},"{35.854: 1, 35.855: 1}",7
71879de9cef62bdc11f78167cf4874c905cab56a02be9ead08685ac6e5e42ec4,2,2,"{31.996: 1, 31.995: 1}","{35.87: 1, 35.871: 1}",26
