start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
3,248,20:00 - 22:00,3,"[917.0, 245.0, 312.0]",25.373,5.037,"['138290e1961dd5d6641a00378803caeb07cc3f629b6f64553d474c90379d4d28_1', '9b0e9189cf30cc3c973dbc26eb583904d44589dcadd616ddc87b9fa96dcf2da5_1', 'eb1950911e076262cb9b09e32732696fd90aeafd520afd1db197708904b77596_1']"
3,271,18:00 - 20:00,2,"[847.0, 710.0]",1.303,1.142,"['5a36e972216849ad6277047caff11c8375992850a3d71f96643ee0a4c5ab35f4_3', 'b360b97c21933ddbe307ecc9500311994b02f78d199bf79ab2abddee7ee5d617_3']"
3,296,14:00 - 16:00,2,"[370.0, 675.0]",6.46,2.542,"['2395547458061f5d01b7adb828d025cbb4db5887e6dff9b463be823d6d1f903d_3', 'd9c98ee53bfbd4447c9af64252dcee94b3872cdffdde9920ff8a71bfbbd1a479_3']"
3,296,16:00 - 18:00,2,"[532.0, 489.0]",0.128,0.358,"['79a95308c4a52603ff26523c8e8a1dbe9e2988bf05a8eb686f5c84f1ba44cd2e_3', '9ce930b22ae3db0c35281faaf27e79ac73e671ecc6c8797131444c37cacc0bc6_3']"
3,324,20:00 - 22:00,2,"[1681.0, 1009.0]",31.36,5.6,"['63d36e22aba21f3c17aea48b57ff33fbfe8c9a60c5d31adbc107dd447352e89c_3', 'faee3e3b87e211543a5e2c6a6811d43ee2ba9a19388e964af0401b7dce135461_1']"
3,325,12:00 - 14:00,2,"[1044.0, 888.0]",1.69,1.3,"['05e11a1acb0d6f1b7566323c7835125a4a41ee156071ebf289492f7f6722f00e_3', '5b84f04002fb6a1145234a0d0bc1df6d341939c2e34521fbba59be5d7f46d03f_1']"
3,337,18:00 - 20:00,2,"[1714.0, 1140.0]",22.88,4.783,"['6806b205fbec664d321548a71025ac9f70826262d79bf6491aad55b5646e13af_3', '8ff6c0c3ca37eb65f5d47595298f9c81f8c376310ebdf39cbe30efd7976757c8_3']"
3,393,14:00 - 16:00,2,"[2127.0, 1179.0]",62.41,7.9,"['7bba58b261ec2967c178f063b80a56c48e4e573976acb6e0aa4f09c71bf87982_3', 'b22bef6b4e97c9aa8f9a97fab174ac0b000a43180b9240ad3fa38969dc07cbf6_3']"
3,395,14:00 - 16:00,2,"[175.0, 620.0]",13.752,3.708,"['845e94ba914adef8784d0ca4d6813dd1167b0905ed4663e45d9b251781d5ecb1_1', 'a8fb4240ddb4f18459d731eabb44d2f3f8fc898c82b2f0ada35612c117c38e60_3']"
4,46,14:00 - 16:00,2,"[845.0, 1310.0]",15.016,3.875,"['57e82fac6249f3f51e2c4927f5af9bd2dde83f7e6fe8731be9bf387cd2afff4a_3', 'cc9f4bfb67ab6e5dc04b63c38cc0d9cadcdd721524910643110ce9fbeeb2d694_3']"
4,182,16:00 - 18:00,2,"[1533.0, 912.0]",26.781,5.175,"['011cc112cb24778122c9d610b0367b56dffca0f8d083c260b76087f3fcd52cee_3', '512433811e2c5b6791274e5fcfde76a7c94006a5d089b79f1231ed9537e5221f_3']"
4,208,12:00 - 14:00,2,"[436.0, 641.0]",2.918,1.708,"['07ec6dd9f825bb6f3e9dad684e55c63ee7798b84fb67ff44e47f5ef493d85f4d_3', '4c14b4b1a439a878ff59f0ffcc7af311c950b943769ab8ff7051d48a3f6bf012_3']"
4,208,16:00 - 18:00,2,"[720.0, 430.0]",5.84,2.417,"['2f8d8f44c1919f2b20c0e9388441d1d86c1f7e1cb8143c71a395cd8e7faa7d1b_3', '784de8754a132775f45aa722c6bd50f851c8e202a1a54be86ae3cf1345d28bc0_3']"
4,278,12:00 - 14:00,4,"[144.0, 345.0, 295.0, 421.0]",2.849,1.688,"['220e9157d375ff036cdaff0ee7ec223cf05684a586b409a49ebe1aaa83e3ef86_3', '61749ea7e4579dbe9eaabad5ab547a72e08f152d8df0c18c7a31206a055e6cf9_3', 'a7544728104d7bfa203d24c5c3fb8f2c4e695db9b170aec6c17ac4f270277b2e_3', 'f5970c61e32a0bc928c7c6f80fcb966ca0c09eb362e9a58aa17420a3440b9b45_3']"
