trip_id,start_idx,end_idx,start_lat,start_lng,end_lat,end_lng,time_elapsed
000c3d26955e90c6218695a72ae4c3255580319a1cb8ac045bf733379c9e2bdd,42,71,31.95,35.872,31.95,35.872,311.0
000e874d4760fe8abee13dafdfbaf304ad4964a7f2f2e7ede42db516dec685d7,44,112,31.976,35.947,31.976,35.947,745.0
0021d1f91196cd35ab1d51dd50e56e42e263c51b4893076f22edacc1e8dc47b4,1,175,32.029,35.864,32.029,35.864,1901.0
00248a3aded3125bb48c280f9d32e88f53c8d0bdef213a24447325e1708924a5,0,38,32.025,35.876,32.025,35.876,439.0
00460b78326793989b5861abfa43270413873c540c818c8d87da2fcc6bf18585,55,96,31.955,35.854,31.955,35.854,420.0
005bda3270ea904260295e1ceba7d4d88f86f3ce251dcaa2e48e8e710c12ab97,158,179,31.953,35.932,31.953,35.932,110.0
006568ecf27349bb6447d421b7995ed89a22e15de089eda4cb0d28233223697b,26,70,31.951,35.872,31.951,35.872,400.0
0082775f175064bbd9aa9c54185c9bf2fb318a8969f33531012c96284b3449f3,0,68,31.958,35.868,31.958,35.868,590.0
00a066677fc7a691f0a8d256ac8a94dabefe8d7b2031ae0f4c3395e2a4aebd5a,19,76,31.948,35.865,31.948,35.865,628.0
00a8a1894f7525143aa5ae66c46f635f23e4e7b33f524427f89d3a2060b050ea,82,159,31.95,35.884,31.95,35.884,633.0
00b199b347c7395fd4c6e137ec23e1f9c12bc2269c66da6bd2022ee413e696ea,0,74,31.915,35.912,31.915,35.912,424.0
00bc9f8459b615b1e36baa53c3c2ea567c64698ecf1af51676680fa59a8c5156,13,218,31.988,35.867,31.988,35.867,2094.0
00c56a189d06ba9935e7f5faf23adf5e6f1ee7822ae83738f71a1c6675df8b97,136,155,31.966,35.872,31.966,35.872,105.0
00c7be86f7d167ae506402a77b0d7fecf1b65e3a06e947f69ae112006c5bdeba,25,93,32.03,35.872,32.03,35.872,695.0
00d0fe1a1e92c9bbd268bac976b989660f3a50904186478357385f3e55fbc7d2,64,126,31.959,35.858,31.959,35.858,320.0
00d9849d6c36a355b342547c966fc95d2194652cf86a93d311216f68f5890205,57,106,31.974,35.854,31.974,35.854,492.0
00de427194d067dfb687c85b8147252a8b71cfcfbf53854bcbf2940344699d78,14,54,31.98,35.865,31.98,35.865,467.0
00e4d3cf28cabbccaccb4f9a9a55ade0b25a22e7705f9738c01309b2e0d01776,21,64,31.95,35.884,31.95,35.884,311.0
00f752a5963f3f1e75c1631223d60ed1421f742fc7ebc6d4fbdda9078f631b25,13,85,31.985,35.859,31.985,35.859,727.0
010d6f334b08e9c97acdee20d06b66f085f80d9eaf87c62cf167a167efad8448,22,127,31.974,35.846,31.974,35.846,1039.0
011cc112cb24778122c9d610b0367b56dffca0f8d083c260b76087f3fcd52cee,0,76,31.891,35.86,31.891,35.86,956.0
013d2a3a52f3bd1b31cb17fad545e99120e0c262ae46dd6704f60c97c0a49978,49,65,31.971,35.914,31.971,35.914,165.0
013d619547512596e019d5746cf52aac745dd34cdc52117aa1fb7e179c0da803,79,121,31.955,35.855,31.955,35.855,258.0
014b5f2a394191faf67fb4a3484f10b281afdc617413e492bb8250b407c8a5ef,17,178,32.029,35.871,32.029,35.871,1735.0
014b9ffd85582346240def95801a8565c0014a9f53ffa8635ea1167c4761091e,106,154,31.895,35.864,31.895,35.864,597.0
018b078d105665d018bc6064d7dc82986ceaa72d480928d22dc0cd7878ecf1fd,51,124,31.951,35.872,31.951,35.872,739.0
018cf58d5396d3350fb2967ecc31a12d7de8aea8afbf931db3f5c302d602b1c4,65,89,31.991,35.891,31.991,35.891,260.0
01a2f4f9f45df93132f0fb0bc0e36af5cbd8e7e500f01241f9e90a45659a1a0d,39,72,31.94,35.856,31.94,35.856,350.0
01b33bd2161af9d261d1558e2adfe53657eb94e4857781dd7917fca5d9e993c7,126,218,31.979,35.856,31.979,35.856,898.0
01cfffda05bd0c8ac4023b8fc514dcee64b4d5c195af422adda83ba6198adc61,16,67,31.99,35.847,31.99,35.847,530.0
01e30e02f45ca0ff176586bf0e542e6e0dec1f682a07eb97cfea00d767db4ae6,32,47,31.997,35.854,31.997,35.854,259.0
020338ba2df918b06b9dfc820fcceec2c3e6627cb3f479edb6025f16c5ccdedb,28,196,31.981,35.987,31.981,35.987,1904.0
0212b0d784e79f5bec820a1fda1b08e588a46ae4aba536bf04999a965737c41a,11,41,31.994,35.87,31.994,35.87,305.0
021b6dc4e4764b4ec6214f80966e4400c92e2fae1de6c24a11b5a229844a5f47,28,39,31.95,35.872,31.95,35.872,105.0
0222232d0e7a289a720e498a5a135bfb982fd5617ae1aab171575fede9f830d1,24,71,31.955,35.842,31.955,35.842,465.0
02322f134fe10e1f062725f79902c033a194f12838101803cc75f98ccee65b2e,22,69,31.976,35.856,31.976,35.856,356.0
0233d392136b8a7976f7f9521d1f49622ca1a8f3cee8dfd739e6650c33926fcc,57,122,31.951,35.872,31.951,35.872,590.0
023c6a6d4d585948a127753ade9fa50b84ddebeb56dcfded51e089ddd14f2711,54,108,31.966,35.845,31.966,35.845,346.0
0241488148c9c66340160f67ff04020964305d4e25ff703b72cb0b2584559e6a,32,56,31.996,35.834,31.996,35.834,260.0
02424ae219f72b1d4dd2328c71eca26253af538c84aaf40ebeebae8c31cbcd03,0,42,31.955,35.855,31.955,35.855,363.0
024a72f2fe0d48f721f6a1d15b5ea5cfcd7d2aa75bba09263ec124e18273d099,0,54,32.003,35.94,32.003,35.94,603.0
02584dfd25f17c5dd9e068cb53cc0b0c0ea7989423c22505e88d99f474dec642,22,32,31.974,35.854,31.974,35.854,220.0
026874174bfd79bf39eb7d58c5c68f2ca78998422abebaded0c1a855c9a81d4e,0,44,31.994,35.87,31.994,35.87,435.0
026dfed8a1cddd8416a7f10d8936f8223c6eacc4d6255f97800d37aad845001b,0,183,32.015,35.868,32.015,35.868,1643.0
027af5a71207243d70e985421cc6cbdf2ac776ec910da1bc673ec425b9c87377,372,395,31.986,35.918,31.986,35.918,407.0
027bfe893b87c9a0fc2f0d4f2764148a10a77324bb44c84c6cba340e72b93104,0,44,31.971,35.897,31.971,35.897,483.0
027fa0638eb901aa8b4fae80539feef4ffd3f44603e65189f7312abed12a2df7,0,50,32.003,35.94,32.003,35.94,519.0
028245f695104d51873c30e9dac2c158dafc9e7b51a39af48c6d1c0489a779b7,18,48,31.957,35.857,31.957,35.857,274.0
029d13126171750b9a3596e9b486964449837e4ef102277010e9cc118f50cdde,31,53,31.974,35.847,31.974,35.847,164.0
029f3eb3b9b815aba6e688a7da640a55aa7a66cc51d0ce286f6fbcef8a90698c,37,105,32.051,35.881,32.051,35.881,675.0
02a84e055b69316ad50cd0667c3736043958c64c9c2e0432783eaa318596362a,72,142,31.957,35.868,31.957,35.868,684.0
02b1dd0277e9ce654b4356fdad1b7f36b4f3238c13ab8e214bf30e62785f1363,31,63,31.955,35.857,31.955,35.857,264.0
