start_cluster,end_cluster,two_hour_segment,trip_count,trip_times,variance,std,trip_ids
-1.0,167.0,10:00 - 12:00,2,"[583.0, 480.0]",0.737,0.858,"['f46b9cd071efc767f93ae7fa6d5af5e521e75acf1f78165df8cb6fea2209c962_3', 'afef3580f4367fb6bd2d0310236e4038986e9bd20d85d6370dc13f4c2cdb1d90_3']"
-1.0,168.0,16:00 - 18:00,2,"[232.0, 334.0]",0.722,0.85,"['388536c06bc8f49c5ec016cf9d65fd5ae83291975c3ece8fecc6a1821010a699_1', 'b57b33c560c8d2115db1d45acd3dc11d85c667930814afa1352723ff121171ff_1']"
-1.0,176.0,10:00 - 12:00,3,"[1265.0, 631.0, 1449.0]",34.103,5.84,"['d20e10418a011190d3e5d7124177cf376585b7754403face887efbf92a157b57_3', 'ee4ebbff852d418c2287d0fc7e5e3a280161353f5126198c3a7cbdc3a38f6f91_3', 'c81a26c103d2a7ca4c1512ce1d1e06c8bedd1c06d8771967ed1a671a5864140f_3']"
-1.0,189.0,08:00 - 10:00,6,"[165.0, 65.0, 1100.0, 85.0, 36.0, 235.0]",38.492,6.204,"['30f8d29e445dda632ffbb4ab988b8f1956e35b8de1f1780d890e0e7c3c71161c_1', '179e39d022dfa560440ec44c2dcb98bcb54e5bea3413dc253e336b9ea48b1590_1', '92972458960f8927c8f32cfe178081b37b57a1ded344ca02193912005c2d1160_3', 'a61cb20b672b1b54b9ca2682d643f2b4e39ed473f6d07274992d5f453b25387f_1', 'b9b8ee53b5a3cbcc7c9c7d9514436f7a60149cab09381a7041236f9d2694cb5f_1', '25fc3b478c132e6683f56db1533cc4ff2b7d40cfdc1b62ccc99f5fa157c92eac_1']"
-1.0,189.0,10:00 - 12:00,9,"[35.0, 134.0, 253.0, 95.0, 85.0, 666.0, 143.0, 190.0, 917.0]",22.715,4.766,"['27c6a80321339a3fd00caf69db9c6648ad6aeade67e629cee8c4b2f43688e691_1', '8c76147ed2c97e061cc5a0fcdccd7b0709acf1336b6af491ac22dbf716f2fabc_1', '845e66918425bb8fe8a6ea19e808b01627132d146b608274af3e9840728683ac_1', '37584b5f7e20ccb645618bccbf0ed938da882fd6a13e31e69274c187905c48dc_1', '4db3a93f56f1476ec6ad055df971d778be19af4e95ecbb3e3e8c0814a5bf3b02_1', '7372ec6f531950ddf9a81e1c93e93a577721dc3ce8695bf7af27caac2361f954_1', '8a2619f3b3e8918bac625bf292ba52788933e180989596d3fe7a4cc7447d00a5_1', '15324273d63332c42e43929ac3a8622881d88b098d4318b271933c5721f44dec_1', 'a89bdf9cbca8cf7518f01f759194a168cf6b1fe19f75ec0f1b3484cecbf4ba32_3']"
-1.0,189.0,12:00 - 14:00,5,"[260.0, 65.0, 45.0, 55.0, 180.0]",2.004,1.416,"['0eb56a2693092134b4476f9a99df2582f277ab157674df7d9f3610fb890d24bc_1', '5a1bfca21c37599f71f1fef9e274ac4af7bf6a815dd76b1f8e8a95ec335a3bf0_1', 'ee9e3b37d720520990fcad1fd0f66be4c009aaa54efd6115e987313bfc9984d2_1', '800dc2a43bbe844e705d6fe95c843fd8536a1e45737a4f3107d8fd68b8fb1a5f_1', 'cfd0ff46c4f16c813f6a5efc3271fd407412a5d77af9cbf1950a074c215120e9_1']"
-1.0,189.0,14:00 - 16:00,2,"[56.0, 40.0]",0.018,0.133,"['6fdaa6455c3ad44390f6fb199275752d5d411b7f25b8eaafc4a6e1c9d2206ef9_1', '62132256f93e044a038b40fd86431232b68f1cc9fa09a594834598d7450a44f4_1']"
-1.0,189.0,16:00 - 18:00,5,"[100.0, 95.0, 125.0, 80.0, 80.0]",0.076,0.276,"['6489f8d0495352465acd91aaebf6a2414821ba6772f44511ef73baee62f238a1_1', '81de29b6f24cc287e3987e7d3188601e8e90b6d4df5e903f89f7d25864fa9645_1', 'a4e5960df394ca26c65a0313796923726cdd57ed0b43ac5e6c3fde74c901b21b_1', 'e7f5995186181de5e7666999d2d834d612ac704c055495386c6308a802b61900_1', '979c1c66137e5854de68633974c3b1a7b2069d587ccb157e4b36e485a365c0c4_1']"
-1.0,189.0,18:00 - 20:00,5,"[95.0, 106.0, 105.0, 30.0, 136.0]",0.34,0.583,"['294c9e6074ad6459cf9d542c3639d1030e79d0991f207bd032b7908002eb25c2_1', '6e4db73a4e91f044e53624ecc9027585ef95bfb2eaf8c2965d790e1b0cdef8bd_1', '4bfefe29c4f8ea284621bfc5a03ff9c2d03c00e12c7e7eae3298dc4af21e4764_1', '6ca9d287a88c43d5cb61de1fb84dd09b1ce4b99e36e806d703a548921d73fe91_1', 'bf805e254447159a45708d70c6ae9f7150393f416ff1ac89155c29de44be0304_1']"
-1.0,198.0,18:00 - 20:00,4,"[436.0, 345.0, 173.0, 250.0]",2.718,1.649,"['1a2ea6e9708af8000e8f238c68833bcf5bba0040d5d12c757bce48f421437b97_3', '5c184666a428fca08a361b6aaf52ce007d24e01c8cd35e1f164c61a08aeb4de3_1', '2fe08a8aacb41142ea3471028d2f53e9fe893045420cc4b4ecd80fbc67b5b1a7_1', '4decc1762c607b3ae075a85e24ebd9f66bef6b89434e71ffff2ba161fb6038be_3']"
-1.0,201.0,14:00 - 16:00,2,"[40.0, 895.0]",50.766,7.125,"['9cb329a0e72bfb2b7b290ca44cc674224618720e8b6127bdd9d8f7ebcd52a87e_1', 'dc356253869102a1d1244f454748bbc10ab9c7acc8aba8d5c42606cc04143886_3']"
